trajectory_id,track_length,alpha,alpha_err,alpha_r_squared,alpha_p_value,alpha_method,D_generalized,D_original,D_err_original,diffusion_type,radius_of_gyration,r_squared_original,n_time_lags,alpha_powerlaw,alpha_powerlaw_err,alpha_powerlaw_r_squared
1475,10,1.2676186072693687,0.051880598151800524,0.9966610476684296,0.0016708720725265853,loglog,0.1819642274356792,0.16438088294962303,0.014057801543741118,super-diffusion,0.2734932313248717,0.9855836381275239,4,1.3757433615428485,0.075056638562903,0.9969059607616787
1545,12,0.9279808107645195,0.20467861022096956,0.9113307663031643,0.04536354233500782,loglog,0.016352907807744566,0.019399753548647397,0.0030229824574099545,normal,0.11319906553672984,0.9536858119466053,4,1.1544171944352555,0.20813071055955593,0.9614604995147272
1546,12,0.8399510360607328,0.027051140188111885,0.9979298908892478,0.001035590779507434,loglog,0.0788854325426481,0.08572700938681174,0.002253509055818453,sub-diffusion,0.27389773494210645,0.9986198905620595,4,0.8716237180838343,0.04191990765426445,0.9968998705767993
1603,10,0.8507793060580764,0.020657993431852404,0.9988222296159137,0.0005890586871115655,loglog,0.08777513573967084,0.09325068839222703,0.002891750027448973,sub-diffusion,0.2685570419023862,0.9980803902437143,4,0.8578228613935841,0.033004295063301846,0.9980225996221554
1745,31,0.7807861922200148,0.04947824404905658,0.9726584756713756,9.942215031300906e-07,loglog,0.004573675710254601,0.003645054745931714,0.0002909589471050601,sub-diffusion,0.09541052236802278,0.9457648313326864,9,0.7022003800487702,0.06633346014182556,0.9648151159674411
1751,10,0.402807324635819,0.22231061972594027,0.621429070297099,0.21169227436419277,loglog,0.08272501673745646,0.05823176200741145,0.05325854831529551,sub-diffusion,0.376907899156809,0.3741153561477898,4,0.3059168792364948,0.23952395152216027,0.5080362756665758
1757,18,0.7449344056880229,0.08583443872384823,0.9616958292910746,0.0032190217199323987,loglog,0.06061618686038896,0.04184624909320321,0.009263915535672197,sub-diffusion,0.26733896696513965,0.8031837304558938,5,0.7421949210159062,0.10655366265970963,0.9604730366015755
1823,23,0.9179252344107544,0.05270126531144463,0.9869863653182547,6.37855321628352e-05,loglog,0.007082645772209152,0.008072398887834143,0.0003768755584536987,normal,0.10722299184956506,0.9870908032435418,6,1.0051550339054485,0.1066081275951199,0.9743676196087988
1828,14,0.961469829399026,0.05947671239567801,0.9924047613787403,0.0038048577820004583,loglog,0.1044299010188821,0.0955696006700851,0.006639912702359037,normal,0.26717163269027716,0.985725448472072,4,0.8912592677443483,0.09793210370730579,0.9850304893091685
1873,14,1.174746092328048,0.009272933855446598,0.9998753988116132,6.230253499628359e-05,loglog,0.1875237193973268,0.16233483030500206,0.005541094729025729,super-diffusion,0.3068859328735909,0.9965168379429868,4,1.171588021836004,0.012918775597198109,0.9998639439134703
1922,10,1.0921254501909463,0.05158076686610719,0.9955585239500913,0.0022232093548721905,loglog,0.07206967087211101,0.06827849903014206,0.0043138223756610606,normal,0.18816844303973773,0.99207985417138,4,1.0652088519992065,0.09222076070763563,0.9913404856399205
