Trajectory,cell_label,n_frames,D,r_squared,filtered,D_err
74,47,27,0.08359168685486855,0.984241517971016,ok,0.0035257229759377683
75,55,2,,,short,
76,53,3,,,short,
77,57,9,,,short,
78,59,4,,,short,
79,60,3,,,short,
80,58,2,,,short,
81,58,2,,,short,
82,53,6,,,short,
83,62,2,,,short,
84,60,4,,,short,
85,62,3,,,short,
86,67,2,,,short,
87,62,5,,,short,
88,60,3,,,short,
89,66,2,,,short,
90,63,8,,,short,
91,62,10,0.014841236764630112,0.9310883894391012,ok,0.0020187888302737244
92,64,4,,,short,
93,62,2,,,short,
94,63,2,,,short,
95,68,3,,,short,
96,70,6,,,short,
97,67,5,,,short,
98,68,6,,,short,
99,64,2,,,short,
100,60,3,,,short,
101,70,3,,,short,
102,63,2,,,short,
103,66,3,,,short,
104,60,2,,,short,
105,63,36,0.029225006789448484,0.9769142058770719,ok,0.001497536986640745
106,68,2,,,short,
107,74,3,,,short,
108,67,3,,,short,
109,70,10,0.015349529266456587,0.7573677378332871,ok,0.00434396113370068
110,62,3,,,short,
111,68,10,0.08207622349693282,0.3115721413932163,ok,0.06100104696701135
112,71,2,,,short,
113,73,3,,,short,
114,62,2,,,short,
115,65,3,,,short,
116,74,3,,,short,
117,66,19,0.011500986036748753,0.6112246538295352,ok,0.00305747378193579
118,68,18,0.05211670516574472,0.9924110467642285,ok,0.0015191506289016622
119,71,3,,,short,
120,67,4,,,short,
121,80,7,,,short,
122,74,2,,,short,
123,81,6,,,short,
124,71,4,,,short,
125,69,2,,,short,
126,68,3,,,short,
127,73,2,,,short,
128,70,3,,,short,
129,70,4,,,short,
130,71,5,,,short,
131,71,2,,,short,
132,68,2,,,short,
133,80,9,,,short,
134,80,2,,,short,
135,80,2,,,short,
136,67,3,,,short,
137,74,2,,,short,
138,80,3,,,short,
139,80,5,,,short,
140,86,7,,,short,
141,71,2,,,short,
142,74,3,,,short,
143,80,2,,,short,
144,70,2,,,short,
145,76,2,,,short,
146,68,2,,,short,
147,83,19,0.0036318083053640095,0.16131665114979465,ok,0.0027603304317592
148,70,2,,,short,
149,68,3,,,short,
150,81,11,0.0010196932580814493,0.24688157185218285,ok,0.0008904855012685235
151,80,2,,,short,
152,73,2,,,short,
153,92,3,,,short,
154,82,3,,,short,
155,81,3,,,short,
156,86,3,,,short,
157,91,4,,,short,
158,80,2,,,short,
159,92,3,,,short,
160,90,2,,,short,
162,88,4,,,short,
163,77,14,0.007419412661363347,0.9357005530005597,ok,0.0007940156765011552
164,86,4,,,short,
165,92,2,,,short,
166,82,2,,,short,
167,82,2,,,short,
168,87,2,,,short,
169,92,2,,,short,
170,92,6,,,short,
171,89,13,0.1359975973270701,0.9827603414688721,ok,0.007353534664560761
172,90,2,,,short,
173,87,2,,,short,
174,82,4,,,short,
175,90,2,,,short,
176,89,5,,,short,
177,82,3,,,short,
178,95,8,,,short,
179,96,21,0.02458002038649198,0.9895259720151459,ok,0.0008429547273922654
180,98,9,,,short,
181,93,3,,,short,
182,82,7,,,short,
183,99,2,,,short,
184,98,2,,,short,
185,98,2,,,short,
186,82,6,,,short,
187,98,52,0.08432829641352842,0.956351289635392,ok,0.00600522158353689
188,98,3,,,short,
189,98,27,0.008461389076668064,0.387109556560675,ok,0.003548909206217075
190,82,3,,,short,
191,96,2,,,short,
192,82,8,,,short,
193,104,2,,,short,
194,101,2,,,short,
195,97,11,0.0031668239155711467,0.9724532795316314,ok,0.0002664983334571696
196,93,4,,,short,
197,103,4,,,short,
198,91,2,,,short,
199,103,2,,,short,
200,91,2,,,short,
201,90,2,,,short,
202,96,3,,,short,
203,101,23,0.016789666640888108,0.9827161667233517,ok,0.0007422098560014195
204,108,24,0.0007369597871844128,0.45335183751286956,ok,0.00026974834290262225
205,88,5,,,short,
206,104,4,,,short,
207,98,3,,,short,
208,100,24,0.014350440212140571,0.9631574978773026,ok,0.000935556201249146
209,103,4,,,short,
210,104,3,,,short,
211,104,5,,,short,
212,96,3,,,short,
213,96,2,,,short,
214,82,3,,,short,
215,85,15,0.0675150794646239,0.9836284702053741,ok,0.0032921593552472394
216,114,3,,,short,
217,101,34,0.04244147702682778,0.979377587150236,ok,0.0020528814918304326
218,97,2,,,short,
219,107,5,,,short,
220,112,2,,,short,
221,108,2,,,short,
222,114,2,,,short,
223,97,5,,,short,
224,112,6,,,short,
225,116,40,0.018965790885660645,0.990949891891025,ok,0.0006041582908229831
226,96,2,,,short,
227,82,2,,,short,
228,96,3,,,short,
229,115,4,,,short,
230,114,2,,,short,
231,114,4,,,short,
232,107,3,,,short,
233,113,3,,,short,
234,113,8,,,short,
235,110,3,,,short,
236,120,2,,,short,
237,112,4,,,short,
238,122,2,,,short,
239,113,3,,,short,
240,114,2,,,short,
241,111,3,,,short,
242,111,3,,,short,
243,110,2,,,short,
244,123,11,0.0031490295077613913,0.9889332947975179,ok,0.00016656066158511496
245,114,2,,,short,
246,116,2,,,short,
247,113,7,,,short,
248,117,3,,,short,
249,122,21,0.01869491044149557,0.990265096344225,ok,0.0006178630652214092
250,120,28,0.018122686817782063,0.9733375014185035,ok,0.0009998158498037849
251,126,3,,,short,
252,127,8,,,short,
253,128,3,,,short,
254,110,7,,,short,
255,111,2,,,short,
256,116,12,0.004244051961713683,0.6047007420050348,ok,0.001534576143729144
257,127,3,,,short,
258,120,2,,,short,
259,110,3,,,short,
260,129,5,,,short,
261,110,3,,,short,
262,127,9,,,short,
263,120,4,,,short,
264,110,80,0.036655371983208666,0.9819728887477235,ok,0.0016555019272642571
265,123,2,,,short,
266,127,5,,,short,
267,129,3,,,short,
268,125,2,,,short,
269,127,2,,,short,
270,127,5,,,short,
271,120,13,0.04376275680159439,0.9400466534039276,ok,0.004511916621178462
272,120,7,,,short,
273,120,3,,,short,
274,133,2,,,short,
275,123,18,0.003130092156980482,0.9740806855623989,ok,0.00017019631762473967
276,126,2,,,short,
277,118,5,,,short,
278,132,2,,,short,
279,126,2,,,short,
280,135,14,0.007272781942015714,0.9125589697615849,ok,0.0009190774014588181
281,137,12,0.0030546265089163,0.17934582508506924,ok,0.002922184109352559
282,135,4,,,short,
283,129,2,,,short,
284,129,2,,,short,
285,144,2,,,short,
286,138,2,,,short,
287,143,15,0.018355414060294548,0.974372792133051,ok,0.0011251314241408235
288,149,36,0.017150083416955,0.9913301404978008,ok,0.0005346159201554885
289,144,7,,,short,
290,153,4,,,short,
291,153,7,,,short,
292,153,25,0.023355255638721845,0.8204201005476568,ok,0.0036422863644964385
293,153,3,,,short,
294,153,10,0.032185126224048066,0.7020276426573154,ok,0.010484219665790391
295,147,23,,0.06526894328810828,negative_D,0.003766195463771618
296,147,2,,,short,
297,147,12,0.14759162940140902,0.9702217899640504,ok,0.011563531843605283
298,147,2,,,short,
299,139,12,0.004553758108054157,0.245804357418012,ok,0.0035672387693470257
300,157,5,,,short,
301,157,2,,,short,
302,157,7,,,short,
303,143,6,,,short,
304,143,2,,,short,
305,12,2,,,short,
306,14,2,,,short,
307,4,5,,,short,
308,14,2,,,short,
309,21,2,,,short,
310,26,3,,,short,
311,27,5,,,short,
312,29,2,,,short,
313,39,3,,,short,
314,30,2,,,short,
315,30,2,,,short,
316,43,2,,,short,
317,37,2,,,short,
318,37,5,,,short,
319,43,4,,,short,
320,43,2,,,short,
321,43,2,,,short,
322,45,2,,,short,
323,43,3,,,short,
324,42,2,,,short,
325,52,2,,,short,
326,50,2,,,short,
327,50,2,,,short,
328,52,2,,,short,
329,55,2,,,short,
330,53,10,0.0055819737026565,0.1516744374200526,ok,0.006600591436856346
331,52,2,,,short,
332,53,2,,,short,
333,56,2,,,short,
334,62,3,,,short,
335,60,5,,,short,
336,53,2,,,short,
337,62,2,,,short,
338,60,5,,,short,
339,64,2,,,short,
340,66,2,,,short,
341,60,2,,,short,
342,53,2,,,short,
343,61,3,,,short,
344,56,6,,,short,
345,74,2,,,short,
346,68,12,0.015064198617914422,0.9534216818753295,ok,0.0014890539569611448
347,74,2,,,short,
348,70,2,,,short,
349,78,2,,,short,
350,69,7,,,short,
351,72,2,,,short,
352,76,2,,,short,
353,65,4,,,short,
354,68,5,,,short,
355,70,4,,,short,
356,82,4,,,short,
357,62,5,,,short,
358,67,9,,,short,
359,74,2,,,short,
360,70,2,,,short,
361,76,2,,,short,
362,73,4,,,short,
363,67,12,0.025635129054639362,0.885901859276848,ok,0.004114309747012931
364,80,3,,,short,
365,87,2,,,short,
366,80,2,,,short,
367,81,2,,,short,
368,75,3,,,short,
369,80,2,,,short,
370,84,11,0.3435721351476642,0.9671369194478207,ok,0.03166635584596076
371,91,2,,,short,
372,84,3,,,short,
373,88,2,,,short,
374,86,4,,,short,
375,76,2,,,short,
376,83,2,,,short,
377,83,3,,,short,
379,82,8,,,short,
380,92,2,,,short,
381,88,2,,,short,
382,82,2,,,short,
383,82,2,,,short,
384,101,2,,,short,
385,82,3,,,short,
386,93,29,0.09260117713602847,0.9798354111865469,ok,0.004428058580799874
387,102,2,,,short,
388,95,2,,,short,
389,102,2,,,short,
390,77,2,,,short,
391,96,4,,,short,
392,104,2,,,short,
393,85,2,,,short,
394,82,5,,,short,
395,96,2,,,short,
396,101,2,,,short,
397,112,4,,,short,
398,112,4,,,short,
399,112,2,,,short,
400,113,2,,,short,
401,110,2,,,short,
402,105,2,,,short,
403,113,4,,,short,
404,120,4,,,short,
405,102,2,,,short,
406,119,3,,,short,
407,115,2,,,short,
409,114,2,,,short,
410,110,11,0.1500623450481155,0.9441363542479362,ok,0.018251094479728364
411,120,2,,,short,
412,132,2,,,short,
413,127,2,,,short,
414,127,2,,,short,
415,122,6,,,short,
416,138,2,,,short,
417,136,2,,,short,
418,136,2,,,short,
419,144,2,,,short,
420,148,2,,,short,
421,152,2,,,short,
422,153,5,,,short,
423,147,8,,,short,
424,147,5,,,short,
425,5,2,,,short,
426,3,7,,,short,
427,3,5,,,short,
428,3,5,,,short,
429,30,2,,,short,
430,39,2,,,short,
431,42,2,,,short,
432,43,2,,,short,
433,43,2,,,short,
434,42,2,,,short,
435,31,3,,,short,
436,37,4,,,short,
437,43,4,,,short,
438,43,2,,,short,
439,52,3,,,short,
440,49,2,,,short,
441,45,4,,,short,
442,53,2,,,short,
443,50,2,,,short,
444,52,3,,,short,
445,53,3,,,short,
446,59,2,,,short,
447,58,3,,,short,
448,53,2,,,short,
449,64,2,,,short,
450,58,2,,,short,
451,66,2,,,short,
452,60,3,,,short,
453,63,3,,,short,
454,61,2,,,short,
455,67,2,,,short,
456,66,2,,,short,
457,64,4,,,short,
458,70,2,,,short,
459,75,2,,,short,
460,74,2,,,short,
461,80,2,,,short,
462,76,6,,,short,
463,65,2,,,short,
464,76,3,,,short,
465,68,5,,,short,
466,75,2,,,short,
467,84,7,,,short,
468,82,4,,,short,
469,74,5,,,short,
470,80,3,,,short,
471,83,3,,,short,
472,86,6,,,short,
473,89,5,,,short,
474,81,2,,,short,
475,91,6,,,short,
476,96,30,0.03883841786705133,0.9821454342329511,ok,0.001745528830268429
477,87,2,,,short,
478,82,3,,,short,
479,103,2,,,short,
480,82,2,,,short,
481,98,2,,,short,
482,112,5,,,short,
483,114,7,,,short,
484,114,3,,,short,
485,105,2,,,short,
486,107,3,,,short,
487,114,2,,,short,
488,114,2,,,short,
489,111,11,0.029306454415717983,0.9769754536661838,ok,0.0022495051993927477
490,116,2,,,short,
491,124,2,,,short,
492,111,5,,,short,
493,123,6,,,short,
494,123,3,,,short,
495,129,4,,,short,
496,120,5,,,short,
497,110,37,0.012857431532608592,0.946004511051276,ok,0.001023917983530684
498,118,3,,,short,
499,141,2,,,short,
500,144,6,,,short,
501,152,2,,,short,
502,152,3,,,short,
503,153,2,,,short,
504,153,8,,,short,
505,157,8,,,short,
506,7,4,,,short,
507,4,27,0.019577617538954754,0.9832950241368396,ok,0.000850588684093887
508,14,2,,,short,
509,4,2,,,short,
510,25,5,,,short,
511,25,7,,,short,
512,35,2,,,short,
513,23,3,,,short,
514,26,3,,,short,
515,27,3,,,short,
516,23,10,0.01692513571956887,0.8869127422331395,ok,0.0030218196385079004
517,30,2,,,short,
518,27,23,0.0009787715824938741,0.12134127565524078,ok,0.000877942191459409
519,37,2,,,short,
520,22,2,,,short,
521,39,2,,,short,
522,35,3,,,short,
523,35,2,,,short,
524,30,2,,,short,
525,30,2,,,short,
526,42,2,,,short,
527,39,3,,,short,
528,40,5,,,short,
529,41,22,0.07499049764789502,0.9119867800295711,ok,0.007765415128125597
530,42,2,,,short,
531,42,2,,,short,
532,45,2,,,short,
533,43,2,,,short,
534,49,2,,,short,
535,47,2,,,short,
536,47,2,,,short,
537,42,3,,,short,
538,47,4,,,short,
539,48,3,,,short,
540,42,2,,,short,
541,49,3,,,short,
542,49,3,,,short,
543,53,2,,,short,
544,45,2,,,short,
545,55,3,,,short,
546,49,3,,,short,
547,55,2,,,short,
548,52,2,,,short,
549,53,2,,,short,
550,53,3,,,short,
551,52,2,,,short,
552,55,3,,,short,
553,55,3,,,short,
554,53,2,,,short,
555,57,2,,,short,
556,52,2,,,short,
557,57,2,,,short,
558,60,3,,,short,
559,55,2,,,short,
560,53,2,,,short,
561,58,2,,,short,
562,56,8,,,short,
563,62,6,,,short,
564,62,2,,,short,
565,62,6,,,short,
566,60,3,,,short,
567,53,3,,,short,
568,55,2,,,short,
569,55,2,,,short,
570,64,3,,,short,
571,60,2,,,short,
572,53,2,,,short,
573,62,6,,,short,
574,53,4,,,short,
575,66,2,,,short,
576,66,3,,,short,
577,68,2,,,short,
578,62,2,,,short,
579,68,3,,,short,
580,68,2,,,short,
581,58,2,,,short,
582,62,3,,,short,
583,67,2,,,short,
584,70,4,,,short,
585,61,3,,,short,
586,72,17,0.05192905613972159,0.9532385709657478,ok,0.004066384817367397
587,68,2,,,short,
588,83,3,,,short,
589,74,3,,,short,
590,70,4,,,short,
591,70,2,,,short,
592,71,3,,,short,
593,78,3,,,short,
594,74,2,,,short,
595,80,2,,,short,
596,70,2,,,short,
597,86,2,,,short,
598,82,15,0.12444119199332254,0.9275173334632404,ok,0.013148348657374846
599,89,4,,,short,
600,80,5,,,short,
601,68,4,,,short,
602,82,4,,,short,
603,77,2,,,short,
604,80,2,,,short,
605,88,3,,,short,
606,72,3,,,short,
607,86,2,,,short,
608,75,2,,,short,
609,88,3,,,short,
610,80,2,,,short,
611,76,2,,,short,
612,87,4,,,short,
613,90,3,,,short,
614,82,3,,,short,
615,86,3,,,short,
616,88,2,,,short,
617,87,4,,,short,
618,83,2,,,short,
619,90,2,,,short,
620,86,2,,,short,
621,82,2,,,short,
622,100,5,,,short,
623,93,2,,,short,
624,98,3,,,short,
625,89,2,,,short,
626,96,2,,,short,
627,98,2,,,short,
628,98,2,,,short,
629,93,12,0.07454449628755014,0.9553482477794007,ok,0.007207240743421969
630,99,2,,,short,
631,98,2,,,short,
632,95,2,,,short,
633,99,3,,,short,
634,89,2,,,short,
635,109,3,,,short,
636,88,2,,,short,
637,96,5,,,short,
638,100,2,,,short,
639,96,4,,,short,
640,97,2,,,short,
641,104,2,,,short,
642,99,3,,,short,
643,104,4,,,short,
644,102,3,,,short,
645,101,2,,,short,
646,95,2,,,short,
647,112,4,,,short,
648,110,2,,,short,
649,101,2,,,short,
650,118,2,,,short,
651,111,6,,,short,
652,116,3,,,short,
653,101,4,,,short,
654,120,3,,,short,
655,120,3,,,short,
656,125,3,,,short,
657,109,8,,,short,
658,118,3,,,short,
659,111,4,,,short,
660,120,2,,,short,
661,126,3,,,short,
662,122,2,,,short,
663,132,2,,,short,
664,127,2,,,short,
665,125,2,,,short,
666,135,2,,,short,
667,129,2,,,short,
668,141,2,,,short,
669,150,2,,,short,
670,138,4,,,short,
671,132,2,,,short,
672,148,4,,,short,
673,150,16,0.007426346718809528,0.7160495128430121,ok,0.001767567419557541
674,142,3,,,short,
675,153,2,,,short,
676,147,17,0.21312901329990833,0.9825197378702198,ok,0.01005080679738389
677,157,10,,0.22724128836812962,negative_D,0.027704165195380336
678,143,2,,,short,
679,143,3,,,short,
680,12,2,,,short,
681,23,2,,,short,
682,25,7,,,short,
683,27,2,,,short,
684,29,2,,,short,
685,22,2,,,short,
686,35,2,,,short,
687,30,2,,,short,
688,42,5,,,short,
689,43,2,,,short,
690,42,2,,,short,
691,43,3,,,short,
692,42,2,,,short,
693,47,2,,,short,
694,53,2,,,short,
695,47,2,,,short,
696,50,2,,,short,
697,55,2,,,short,
698,52,2,,,short,
699,58,2,,,short,
700,53,2,,,short,
701,53,2,,,short,
702,58,3,,,short,
703,59,2,,,short,
704,53,2,,,short,
705,62,2,,,short,
706,60,2,,,short,
707,64,2,,,short,
708,55,2,,,short,
709,62,5,,,short,
710,67,3,,,short,
711,62,2,,,short,
712,64,2,,,short,
713,60,2,,,short,
714,66,3,,,short,
715,68,3,,,short,
716,62,3,,,short,
717,70,2,,,short,
718,74,2,,,short,
719,74,2,,,short,
720,65,2,,,short,
721,71,2,,,short,
722,74,2,,,short,
723,73,5,,,short,
724,67,3,,,short,
725,74,3,,,short,
726,82,2,,,short,
727,76,4,,,short,
728,74,3,,,short,
729,71,5,,,short,
730,80,2,,,short,
731,76,2,,,short,
732,76,3,,,short,
733,90,6,,,short,
734,83,4,,,short,
735,86,2,,,short,
736,86,3,,,short,
737,88,2,,,short,
738,76,2,,,short,
739,84,4,,,short,
740,92,2,,,short,
741,88,2,,,short,
742,92,2,,,short,
743,91,2,,,short,
745,92,5,,,short,
746,88,2,,,short,
747,77,22,0.01332109518471393,0.9829428031879994,ok,0.0005849360692108803
748,88,2,,,short,
749,93,3,,,short,
750,95,3,,,short,
751,96,6,,,short,
752,100,3,,,short,
753,91,3,,,short,
754,96,2,,,short,
755,102,3,,,short,
756,98,3,,,short,
757,85,2,,,short,
758,104,4,,,short,
759,96,3,,,short,
760,107,2,,,short,
761,112,3,,,short,
762,112,2,,,short,
763,97,8,,,short,
764,116,8,,,short,
765,115,4,,,short,
766,110,6,,,short,
767,111,3,,,short,
768,113,3,,,short,
769,118,2,,,short,
770,120,2,,,short,
771,107,3,,,short,
772,114,16,,0.050287791182760166,negative_D,0.0023703230874118075
773,120,3,,,short,
774,119,3,,,short,
775,122,2,,,short,
776,115,3,,,short,
777,120,2,,,short,
778,129,2,,,short,
779,125,2,,,short,
780,125,2,,,short,
781,135,4,,,short,
782,149,2,,,short,
783,149,4,,,short,
784,147,20,0.0015941130022426343,0.1507082276736046,ok,0.0012614145028911452
785,5,3,,,short,
786,14,3,,,short,
787,18,4,,,short,
788,27,7,,,short,
789,22,4,,,short,
790,30,2,,,short,
791,30,4,,,short,
792,30,3,,,short,
793,38,2,,,short,
794,38,4,,,short,
795,39,6,,,short,
796,45,4,,,short,
797,43,2,,,short,
798,43,3,,,short,
799,45,2,,,short,
800,47,4,,,short,
801,45,2,,,short,
802,50,2,,,short,
803,45,2,,,short,
804,47,2,,,short,
805,53,2,,,short,
806,53,5,,,short,
807,47,2,,,short,
808,55,2,,,short,
809,53,2,,,short,
810,53,2,,,short,
811,53,4,,,short,
812,63,3,,,short,
813,55,2,,,short,
814,55,3,,,short,
815,59,10,0.056758971660922176,0.8374944918170945,ok,0.012501081528345538
816,53,3,,,short,
817,60,3,,,short,
818,53,2,,,short,
819,61,3,,,short,
820,53,2,,,short,
821,62,2,,,short,
822,67,2,,,short,
823,71,6,,,short,
824,75,11,0.051579517662200175,0.9807660690666502,ok,0.0036115912859981582
825,84,4,,,short,
826,70,3,,,short,
827,70,3,,,short,
828,71,2,,,short,
829,74,3,,,short,
830,71,2,,,short,
831,79,2,,,short,
832,86,4,,,short,
833,84,4,,,short,
834,87,10,0.012190944339659147,0.5487467639447405,ok,0.005527535364698842
835,82,12,,0.10745438669050356,negative_D,0.006552649297931041
836,83,4,,,short,
837,82,5,,,short,
838,90,5,,,short,
839,94,10,0.014477228914641515,0.8994076554154325,ok,0.002420803967194137
840,82,2,,,short,
841,101,2,,,short,
842,108,2,,,short,
843,112,4,,,short,
844,102,2,,,short,
845,97,2,,,short,
846,96,2,,,short,
847,82,3,,,short,
848,114,6,,,short,
849,112,3,,,short,
850,104,3,,,short,
851,114,2,,,short,
852,120,2,,,short,
853,120,2,,,short,
854,122,2,,,short,
855,123,3,,,short,
856,132,2,,,short,
857,126,18,0.005487921946391815,0.9639408911099043,ok,0.0003538090697553993
858,122,3,,,short,
859,143,7,,,short,
860,134,4,,,short,
861,149,2,,,short,
862,153,6,,,short,
863,153,3,,,short,
864,153,3,,,short,
865,153,2,,,short,
866,143,2,,,short,
867,16,3,,,short,
868,13,10,0.006650156861345557,0.9163690443618552,ok,0.0010045006603949334
869,21,2,,,short,
870,29,2,,,short,
871,23,3,,,short,
872,30,2,,,short,
873,22,3,,,short,
874,39,2,,,short,
875,22,19,0.0017924764026522044,0.28794064785839,ok,0.0009395908976369895
876,39,2,,,short,
877,38,3,,,short,
878,35,4,,,short,
879,30,4,,,short,
880,30,2,,,short,
881,30,2,,,short,
882,42,5,,,short,
883,41,3,,,short,
884,47,2,,,short,
885,45,3,,,short,
886,48,3,,,short,
887,52,6,,,short,
888,42,2,,,short,
889,49,2,,,short,
890,42,2,,,short,
891,42,2,,,short,
892,52,2,,,short,
893,53,2,,,short,
894,53,7,,,short,
895,53,3,,,short,
896,53,2,,,short,
897,58,8,,,short,
898,53,3,,,short,
899,53,2,,,short,
900,63,11,0.01169482733876544,0.8128296242296853,ok,0.002805967341862884
901,64,2,,,short,
902,60,2,,,short,
903,65,5,,,short,
904,62,2,,,short,
905,63,2,,,short,
906,63,6,,,short,
907,66,4,,,short,
908,69,3,,,short,
909,62,2,,,short,
910,60,3,,,short,
911,66,2,,,short,
912,58,2,,,short,
913,67,2,,,short,
914,73,3,,,short,
915,70,3,,,short,
916,71,2,,,short,
917,75,4,,,short,
918,70,2,,,short,
919,58,3,,,short,
920,73,6,,,short,
921,71,2,,,short,
922,70,3,,,short,
923,81,4,,,short,
924,76,2,,,short,
925,68,3,,,short,
926,74,2,,,short,
927,82,3,,,short,
928,81,3,,,short,
929,89,2,,,short,
930,81,2,,,short,
931,87,3,,,short,
932,80,2,,,short,
933,87,2,,,short,
934,88,6,,,short,
935,92,2,,,short,
936,81,2,,,short,
937,82,4,,,short,
938,99,41,0.01837341444514614,0.9949305415084854,ok,0.0004371726923405139
939,81,2,,,short,
940,98,2,,,short,
941,82,3,,,short,
942,90,3,,,short,
943,92,4,,,short,
944,99,2,,,short,
945,77,6,,,short,
946,98,2,,,short,
947,89,4,,,short,
948,82,2,,,short,
949,90,3,,,short,
950,99,3,,,short,
951,91,5,,,short,
952,77,2,,,short,
953,93,4,,,short,
954,97,2,,,short,
955,97,2,,,short,
956,95,2,,,short,
957,103,14,0.03157174226794888,0.9811765846384388,ok,0.001785247949257516
958,109,2,,,short,
959,116,12,0.01840194679561842,0.9967954606474564,ok,0.00046661473482452926
960,114,3,,,short,
961,115,4,,,short,
962,102,5,,,short,
963,113,2,,,short,
964,116,5,,,short,
965,113,2,,,short,
966,110,2,,,short,
967,111,2,,,short,
968,110,2,,,short,
969,111,3,,,short,
970,122,2,,,short,
971,125,2,,,short,
972,120,2,,,short,
973,136,3,,,short,
974,125,2,,,short,
975,138,2,,,short,
976,129,19,0.017494591481077664,0.9694766172542473,ok,0.0010347375418323845
977,129,2,,,short,
978,134,2,,,short,
979,133,2,,,short,
980,142,5,,,short,
981,149,2,,,short,
982,152,5,,,short,
983,152,2,,,short,
984,153,3,,,short,
985,157,13,0.06693379098811271,0.9782246251327719,ok,0.004076930876528064
986,3,2,,,short,
987,11,2,,,short,
988,16,2,,,short,
989,14,8,,,short,
990,27,2,,,short,
991,26,9,,,short,
992,23,4,,,short,
993,25,2,,,short,
994,30,2,,,short,
995,29,2,,,short,
996,30,2,,,short,
997,32,2,,,short,
998,22,4,,,short,
999,30,2,,,short,
1000,32,3,,,short,
1001,39,3,,,short,
1002,39,2,,,short,
1003,39,3,,,short,
1004,38,3,,,short,
1005,37,2,,,short,
1006,37,3,,,short,
1007,42,2,,,short,
1008,45,2,,,short,
1009,43,2,,,short,
1010,42,9,,,short,
1011,48,2,,,short,
1012,47,2,,,short,
1013,47,3,,,short,
1014,45,2,,,short,
1015,49,2,,,short,
1016,45,2,,,short,
1017,45,2,,,short,
1018,47,3,,,short,
1019,53,2,,,short,
1020,53,4,,,short,
1021,45,2,,,short,
1022,53,3,,,short,
1023,52,3,,,short,
1024,53,2,,,short,
1025,53,2,,,short,
1026,53,3,,,short,
1027,55,2,,,short,
1028,58,5,,,short,
1029,63,3,,,short,
1030,55,2,,,short,
1031,55,2,,,short,
1032,55,2,,,short,
1033,59,2,,,short,
1034,55,2,,,short,
1035,63,4,,,short,
1036,65,2,,,short,
1037,59,2,,,short,
1038,62,7,,,short,
1039,67,2,,,short,
1040,64,2,,,short,
1041,66,7,,,short,
1042,68,8,,,short,
1043,71,2,,,short,
1044,76,2,,,short,
1045,58,2,,,short,
1046,62,2,,,short,
1047,68,5,,,short,
1048,68,3,,,short,
1049,71,3,,,short,
1050,83,4,,,short,
1051,71,2,,,short,
1052,73,3,,,short,
1053,73,2,,,short,
1054,70,2,,,short,
1055,82,3,,,short,
1056,67,4,,,short,
1057,80,2,,,short,
1058,80,34,0.011437496583724173,0.8978137508924502,ok,0.0012862127754914613
1059,80,3,,,short,
1060,71,2,,,short,
1061,87,2,,,short,
1062,80,2,,,short,
1063,88,2,,,short,
1064,72,2,,,short,
1065,92,3,,,short,
1066,93,5,,,short,
1067,82,3,,,short,
1068,92,2,,,short,
