cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type
159,3705.0,362.56349186104046,0.35418481240472593,635.4488529014844,711.1748987854251,112,450,9.0,0.013552321251448056,0.017923471348200586,0.013323809731367046,0.005228590183006343,0.011683483178928202,0.016912073361934545,interphase
163,3493.0,301.8711037056153,0.4816874867688255,75.77927283137704,730.2473518465503,16,100,5.0,0.014894969990941653,0.020774151061082054,0.016266546641223466,0.02235738240533262,0.009811999316113821,0.03216938172144644,interphase
164,6507.0,343.9482681718907,0.6912010936656448,348.9538958045182,744.6141078838174,153,631,7.0,0.07236037471140114,0.06212661191372116,0.04764014397179545,0.07817736499494335,0.015944032473000525,0.09412139746794387,mitotic
168,5041.0,321.37972567696687,0.6133235066034787,226.58916881571116,764.5723070819282,62,264,5.0,0.008229391251302445,0.00900703519087528,0.002886196184648479,0.005936513326472263,0.006285207982324551,0.012221721308796814,mitotic
180,3626.0,232.36753236814715,0.8438918093996611,568.0284059569774,795.5766685052399,89,325,5.0,0.010325558295012326,0.019155019382944793,0.014725898672037373,0.031227197771066577,0.005792948756031589,0.03702014652709817,mitotic
182,5666.0,340.8233764908628,0.6129537197695292,707.4634662901518,823.4602894458171,88,400,10.0,0.009126408256435816,0.014011674199011934,0.012478688845194397,0.01528515947654277,0.0041422784175952675,0.019427437894138037,mitotic
199,2304.0,204.95331880577402,0.6892589725307106,608.23046875,862.7322048611111,64,266,5.0,0.015459076532069923,0.049370440886742334,0.0681085227969399,0.009877781781045933,0.013722762866420461,0.023600544647466394,mitotic
214,4965.0,297.97770542341357,0.7026864414288586,754.6986908358509,917.860422960725,86,416,7.0,0.024216712819306555,0.024558756507892177,0.014754595687922858,0.011124316953398349,0.016860209662585626,0.027984526615983975,mitotic
215,4107.0,264.24978336205567,0.7391035478814045,663.0216703189676,913.254443632822,100,477,10.0,0.014258771740998185,0.023012162015671293,0.023250784795417666,0.025286057297590824,0.009355865383681407,0.03464192268127223,mitotic
220,2940.0,253.2670273047588,0.5759700335311887,709.993537414966,943.0387755102041,69,352,11.0,0.026393296746358513,0.06905546272262594,0.08305695523171647,0.06608673468542059,0.016826975801059664,0.08291371048648025,mitotic
223,4818.0,307.46298679765215,0.640458473927529,634.0062266500622,956.6585720215858,141,734,12.0,0.06943601027927157,0.14540601014105345,0.27131040040573945,0.10480985253049861,0.011207369667843952,0.11601722219834257,mitotic
224,3260.0,243.1370849898476,0.6929869447301517,473.4352760736196,938.5257668711656,62,304,6.0,0.024415099953267547,0.030932072124779487,0.02576418935519682,0.015229270033347682,0.017428153055395176,0.03265742308874286,mitotic
228,3521.0,239.88225099390857,0.7689173457256924,340.9440499857995,943.5362113036069,99,409,9.0,0.008990592473224942,0.03947196659760199,0.07446173544671417,0.01844764265987049,0.006476640081097698,0.024924282740968185,mitotic
234,3902.0,268.79393923934,0.6786692702324331,590.2416709379805,988.3170169144029,78,362,5.0,0.013165142598861092,0.017417963503489724,0.015424249838837698,0.010305931363178578,0.0054993472702500636,0.015805278633428642,mitotic
239,3102.0,237.73506473629428,0.6897078548565534,515.1447453255964,992.0519019987105,64,272,6.0,0.0204307809219966,0.03156003278031341,0.0261136504632124,0.024206279967155703,0.014748225929005595,0.0389545058961613,mitotic
