 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
13852,3040,28,531.704,524.991,0,1.241,1.644,3.336,7.471,17.954,0.012
13853,3040,29,529.606,526.217,0,0.788,1.431,2.560,5.097,11.045,0.128
13854,3041,27,756.567,531.365,0,1.342,1.456,2.629,5.245,11.307,0.020
13855,3041,28,755.212,531.354,0,1.514,1.362,2.315,4.324,8.705,0.013
13856,3042,27,274.325,536.717,0,0.761,1.435,2.557,5.012,10.569,0.130
13857,3042,28,271.415,535.899,0,0.907,1.375,2.395,4.657,9.908,0.109
13858,3043,27,118.054,540.718,0,1.520,1.305,2.204,4.218,8.993,0.018
13859,3043,28,118.139,541.345,0,1.594,1.403,2.600,5.528,13.065,0.014
13860,3043,29,118.151,541.884,0,2.067,1.625,3.264,7.256,17.354,0.003
13861,3043,30,120.096,542.252,0,1.374,1.290,2.149,4.043,8.448,0.015
13862,3043,31,120.137,542.515,0,1.607,1.378,2.415,4.737,10.184,0.015
13863,3043,32,121.839,542.783,0,1.682,1.474,2.763,5.813,13.362,0.009
13864,3043,33,122.789,542.268,0,1.676,1.687,3.480,7.879,19.052,0.002
13865,3043,34,120.916,540.849,0,1.047,1.234,1.934,3.324,6.165,0.011
13866,3043,35,122.838,542.791,0,1.652,1.492,2.820,5.964,13.724,0.014
13867,3043,36,122.948,542.308,0,1.582,1.552,2.999,6.434,14.924,0.005
13868,3043,37,122.442,541.505,0,1.541,1.608,3.149,6.757,15.494,0.007
13869,3043,38,120.902,540.916,0,1.272,1.396,2.499,5.012,10.986,0.025
13870,3043,39,121.775,541.179,0,1.863,1.531,2.915,6.142,13.966,0.002
13871,3043,40,124.440,543.085,0,0.854,1.388,2.460,4.855,10.402,0.139
13872,3044,27,450.457,541.291,0,0.934,1.585,3.088,6.644,15.382,0.036
13873,3044,28,449.848,544.158,0,0.976,1.682,3.428,7.642,18.172,0.009
13874,3044,29,451.333,541.610,0,1.147,1.618,3.257,7.269,17.475,0.014
13875,3044,30,452.145,537.498,0,0.739,1.455,2.690,5.569,12.585,0.108
13876,3044,31,452.195,537.065,0,0.998,1.461,2.690,5.529,12.373,0.067
13877,3044,32,451.595,537.528,0,1.221,1.554,2.950,6.149,13.744,0.021
13878,3045,27,535.193,544.490,0,1.197,1.448,2.592,5.098,10.786,0.038
13879,3045,28,537.327,545.683,0,1.258,1.605,3.166,6.864,15.943,0.016
13880,3045,29,539.220,544.387,0,0.945,1.454,2.630,5.254,11.331,0.091
13881,3045,30,541.142,544.635,0,1.040,1.455,2.635,5.277,11.416,0.069
13882,3046,27,374.635,555.133,0,0.666,1.442,2.620,5.310,11.712,0.091
13883,3046,28,373.116,555.782,0,0.758,1.417,2.550,5.156,11.428,0.111
13884,3047,27,205.238,560.096,0,1.580,1.359,2.323,4.388,8.982,0.015
13885,3047,28,202.854,560.832,0,1.923,1.399,2.464,4.813,10.223,0.007
13886,3047,29,202.427,561.658,0,2.095,1.401,2.503,5.023,11.072,0.005
13887,3047,30,203.787,561.979,0,1.492,1.695,3.495,7.909,19.116,0.003
13888,3047,31,203.731,563.673,0,1.882,1.665,3.377,7.526,17.947,0.002
13889,3047,32,205.540,561.869,0,1.315,1.437,2.599,5.218,11.363,0.019
13890,3047,33,206.227,561.873,0,1.340,1.589,3.103,6.683,15.467,0.008
13891,3047,34,206.687,561.020,0,0.814,1.519,2.893,6.146,14.186,0.064
13892,3047,35,202.954,561.636,0,1.164,1.468,2.723,5.649,12.766,0.042
13893,3047,36,207.044,561.789,0,0.677,1.483,2.778,5.780,13.004,0.041
13894,3047,37,204.778,565.416,0,1.199,1.601,3.115,6.644,15.155,0.018
13895,3047,38,206.218,561.366,0,0.922,1.618,3.172,6.820,15.693,0.030
13896,3048,27,190.695,575.331,0,0.591,1.324,2.221,4.146,8.463,0.071
13897,3048,28,191.391,574.721,0,0.864,1.512,2.834,5.878,13.173,0.074
13898,3048,29,192.305,574.406,0,1.040,1.637,3.245,7.028,16.234,0.017
13899,3048,30,193.302,576.838,0,0.902,1.428,2.548,5.023,10.699,0.110
13900,3048,31,194.564,577.302,0,0.780,1.485,2.772,5.786,13.153,0.111
13901,3048,32,193.603,576.351,0,1.133,1.372,2.346,4.409,8.918,0.042
13902,3048,33,193.784,576.515,0,1.367,1.298,2.108,3.748,7.165,0.013
13903,3048,34,193.165,575.813,0,1.917,1.497,2.794,5.783,12.950,0.008
13904,3048,35,194.282,576.724,0,1.905,1.330,2.205,3.993,7.746,0.007
13905,3048,36,194.177,576.628,0,1.778,1.455,2.658,5.403,11.942,0.010
13906,3048,37,194.088,576.797,0,1.338,1.442,2.574,5.048,10.642,0.026
13907,3048,38,193.418,576.409,0,1.180,1.455,2.670,5.481,12.291,0.033
13908,3048,39,193.244,576.788,0,1.093,1.438,2.568,5.063,10.790,0.063
13909,3048,40,193.893,577.740,0,0.833,1.339,2.264,4.237,8.618,0.099
13910,3049,27,338.285,579.885,0,0.804,1.346,2.273,4.225,8.483,0.096
13911,3049,28,338.274,579.484,0,1.034,1.425,2.523,4.918,10.325,0.070
13912,3050,27,221.743,580.349,0,1.235,1.365,2.325,4.353,8.788,0.038
13913,3050,28,220.456,582.560,0,0.757,1.376,2.356,4.420,8.904,0.125
13914,3051,27,25.188,592.033,0,0.613,1.324,2.208,4.059,8.064,0.078
13915,3051,28,25.191,592.447,0,0.603,1.346,2.279,4.239,8.481,0.069
13916,3051,29,25.187,594.021,0,0.612,1.320,2.202,4.056,8.104,0.061
13917,3051,30,25.428,594.725,0,0.689,1.247,1.958,3.364,6.214,0.023
13918,3051,31,26.137,595.481,0,0.715,1.321,2.199,4.049,8.104,0.091
13919,3052,27,171.575,600.854,0,0.828,1.505,2.819,5.841,13.062,0.090
13920,3052,28,171.816,601.932,0,0.823,1.481,2.728,5.570,12.311,0.096
13921,3053,27,453.536,607.750,0,0.839,1.386,2.409,4.623,9.601,0.110
13922,3053,28,451.847,609.859,0,1.681,1.528,2.879,5.990,13.433,0.004
13923,3053,29,451.465,611.193,0,0.780,1.436,2.577,5.122,11.011,0.128
13924,3053,30,452.141,609.073,0,0.870,1.436,2.585,5.161,11.168,0.122
13925,3054,27,167.614,613.289,0,0.660,1.398,2.457,4.790,10.144,0.104
13926,3054,28,167.415,611.485,0,0.728,1.381,2.371,4.477,9.116,0.121
13927,3055,27,476.772,620.028,0,0.785,1.541,2.941,6.205,14.115,0.064
13928,3055,28,476.453,619.584,0,0.674,1.367,2.366,4.586,9.768,0.105
13929,3056,27,119.634,630.174,0,0.567,1.303,2.183,4.101,8.494,0.060
13930,3056,28,117.419,630.286,0,0.839,1.526,2.884,6.020,13.557,0.064
13931,3056,29,119.016,630.460,0,0.614,1.396,2.463,4.836,10.338,0.087
13932,3056,30,119.433,632.815,0,0.706,1.452,2.657,5.426,12.069,0.107
13933,3057,27,543.382,645.113,0,0.814,1.607,3.179,6.929,16.207,0.020
13934,3057,28,541.499,648.380,0,0.913,1.363,2.346,4.490,9.371,0.102
13935,3058,27,1010.854,685.423,0,1.034,1.540,2.923,6.108,13.714,0.041
13936,3058,28,1009.932,686.297,0,1.283,1.456,2.633,5.256,11.325,0.030
13937,3058,29,1010.567,685.644,0,0.737,1.469,2.704,5.521,12.211,0.110
13938,3058,30,1010.248,688.477,0,1.315,1.283,2.060,3.613,6.790,0.014
13939,3059,27,221.451,712.824,0,1.290,1.546,2.935,6.129,13.747,0.014
13940,3059,28,222.834,715.288,0,0.941,1.587,3.092,6.626,15.221,0.032
13941,3059,29,219.452,713.426,0,0.829,1.499,2.798,5.788,12.956,0.107
13942,3060,27,211.423,714.981,0,1.348,1.640,3.273,7.163,16.765,0.006
13943,3060,28,212.453,714.127,0,1.667,1.431,2.548,5.014,10.670,0.012
13944,3061,27,6.030,728.654,0,0.596,1.335,2.236,4.129,8.242,0.074
13945,3061,28,5.665,727.709,0,0.619,1.316,2.167,3.929,7.706,0.063
13946,3061,29,7.489,727.709,0,0.960,1.315,2.150,3.830,7.289,0.043
13947,3061,30,6.859,728.545,0,0.629,1.352,2.333,4.490,9.446,0.086
13948,3062,27,865.904,730.607,0,0.609,1.348,2.340,4.588,9.937,0.077
13949,3062,28,867.276,731.799,0,1.106,1.484,2.743,5.625,12.504,0.056
13950,3062,29,866.588,732.502,0,0.899,1.538,2.928,6.159,13.947,0.071
13951,3062,30,864.283,729.781,0,0.762,1.349,2.309,4.411,9.231,0.110
13952,3062,31,865.693,728.161,0,1.149,1.388,2.389,4.517,9.181,0.052
13953,3063,27,639.079,731.289,0,1.266,1.534,2.946,6.294,14.561,0.015
13954,3063,28,635.645,733.050,0,1.228,1.503,2.808,5.809,12.979,0.031
13955,3064,27,280.858,735.492,0,0.801,1.509,2.837,5.916,13.364,0.087
13956,3064,28,280.858,732.431,0,0.812,1.303,2.134,3.836,7.424,0.065
13957,3065,27,407.767,744.812,0,1.232,1.382,2.377,4.484,9.096,0.037
13958,3065,28,405.658,743.351,0,0.977,1.616,3.315,7.617,18.951,0.013
13959,3066,27,970.601,750.019,0,0.876,1.455,2.636,5.269,11.360,0.095
13960,3066,28,971.378,753.848,0,1.023,1.452,2.664,5.453,12.153,0.077
13961,3067,27,175.842,753.659,0,0.922,1.517,2.865,5.999,13.589,0.071
13962,3067,28,175.938,753.168,0,1.044,1.446,2.621,5.271,11.494,0.070
13963,3068,27,964.328,758.601,0,0.872,1.477,2.681,5.341,11.423,0.091
13964,3068,28,962.895,761.216,0,0.889,1.511,2.814,5.781,12.803,0.077
13965,3068,29,967.660,762.490,0,0.867,1.428,2.566,5.160,11.357,0.116
13966,3069,27,443.010,766.704,0,0.825,1.379,2.405,4.657,9.803,0.113
13967,3069,28,443.147,770.398,0,0.933,1.343,2.250,4.132,8.160,0.077
13968,3069,29,443.581,770.370,0,0.926,1.285,2.061,3.610,6.775,0.033
13969,3069,30,444.213,768.024,0,0.803,1.533,2.941,6.251,14.337,0.059
13970,3070,27,124.747,775.241,0,0.784,1.401,2.450,4.730,9.861,0.125
13971,3070,28,124.143,775.756,0,0.698,1.373,2.321,4.291,8.502,0.111
13972,3071,27,437.568,777.803,0,0.945,1.401,2.428,4.607,9.366,0.085
13973,3071,28,438.215,776.994,0,0.799,1.375,2.435,4.887,10.847,0.125
13974,3071,29,437.491,775.039,0,1.487,1.501,2.806,5.811,13.011,0.013
13975,3072,27,966.253,780.733,0,0.877,1.596,3.115,6.691,15.432,0.033
13976,3072,28,964.432,783.315,0,0.858,1.293,2.091,3.705,7.064,0.046
13977,3073,27,715.453,781.216,0,0.843,1.521,2.839,5.818,12.789,0.087
13978,3073,28,715.245,783.230,0,1.347,1.544,2.927,6.120,13.786,0.020
13979,3073,29,714.202,782.501,0,1.245,1.430,2.540,4.972,10.504,0.034
13980,3073,30,714.714,784.365,0,1.196,1.351,2.277,4.212,8.377,0.032
13981,3073,31,714.531,786.087,0,0.934,1.353,2.308,4.360,8.947,0.074
13982,3073,32,714.179,785.163,0,0.846,1.389,2.408,4.606,9.521,0.128
13983,3073,33,715.315,785.792,0,1.242,1.375,2.369,4.504,9.254,0.025
13984,3074,27,293.117,783.240,0,0.857,1.414,2.505,4.913,10.428,0.112
