cell_label,area_px,perimeter_px,circularity,centroid_x,centroid_y,n_trajectories,n_points,n_valid_traj,D_median,D_mean,D_std,D_iqr,D_p25,D_p75,cell_type
128,2016.0,208.20815280171308,0.5843928980744761,315.38343253968253,495.56051587301585,79,423,9.0,0.029969454787197317,0.034335882181537325,0.03217074198048398,0.034068330776527364,0.007268793770700445,0.04133712454722781,interphase
129,1631.0,210.095454429505,0.46433402926248296,679.3390557939914,493.6591048436542,60,342,6.0,0.01131679411927803,0.012289985132140219,0.008495219258812768,0.008685701660918284,0.0065680420531191355,0.01525374371403742,interphase
131,2316.0,219.86500705120545,0.6020550324914258,525.6204663212435,507.6502590673575,62,320,7.0,0.012741970736192562,0.021345306166212753,0.017759551991455166,0.02037202886684579,0.007772988391028015,0.028145017257873807,interphase
134,1727.0,209.25483399593907,0.4956227153900978,754.9924724956572,493.9073537927041,29,166,6.0,0.009312928819908929,0.01858904847379102,0.017198106568999963,0.02559423407677349,0.005156196922434805,0.030750430999208295,interphase
138,2651.0,294.095454429505,0.3851615871403351,802.2070916635232,509.47831007167105,45,397,12.0,0.021200832739353633,0.04014125238953759,0.04844381870260067,0.03394349744850754,0.00862820527458394,0.04257170272309148,interphase
141,2696.0,264.7878425849301,0.4832075035366929,165.0723293768546,517.884643916914,66,410,15.0,0.01042065463062199,0.021604096230569424,0.026068413546954425,0.023069024749344306,0.003315428701919585,0.02638445345126389,interphase
146,3257.0,265.7289680818844,0.5796286190860546,242.83880871968069,529.530242554498,70,331,7.0,0.01662189549136589,0.03813312709185139,0.041175929867666744,0.024328346376905903,0.01463129012769445,0.03895963650460035,interphase
149,2591.0,281.4386001800126,0.4110644817591021,418.8668467773061,528.221536086453,103,469,6.0,0.015863314640765316,0.06970168902710527,0.09898540554675281,0.06495213019900695,0.008744512198521456,0.0736966423975284,interphase
150,1584.0,173.65180361560903,0.6600950019794383,649.3579545454545,535.8775252525253,64,368,9.0,0.022971750246847333,0.019400437571283773,0.01439358008738732,0.018558496446131716,0.0068468953108066204,0.025405391756938338,interphase
151,2141.0,249.46803743153546,0.4323114223256091,850.014012143858,527.5460065390005,35,324,10.0,0.011172681192700783,0.013432440204827933,0.008210710135021575,0.012279791294728781,0.0072700810236356285,0.01954987231836441,interphase
153,1733.0,194.95331880577407,0.5729901563004532,115.71609924985574,544.1604154645124,61,359,11.0,0.01982064395769395,0.023085576614399517,0.017855485196223875,0.02095432082006145,0.00932750933948577,0.030281830159547222,interphase
155,2363.0,246.8944443027283,0.48713681336613596,441.68726195514176,550.6297079983073,64,388,11.0,0.02257467646504871,0.03677885105604442,0.03128906620454947,0.02300645905551882,0.016614169920828925,0.039620628976347744,interphase
156,6814.0,383.04877323527904,0.5835846251754414,703.8081890226006,593.2590255356619,110,461,5.0,0.024086769176912277,0.025624091934370173,0.016655517059157122,0.0196358991677532,0.01515173710996408,0.034787636277717277,interphase
158,2997.0,240.6223663640862,0.6504660287275784,183.1031031031031,558.1027694361028,63,402,10.0,0.01323460141675446,0.017623766200073655,0.016529386844992243,0.016553235632686705,0.004417489253274095,0.0209707248859608,interphase
161,10950.0,579.6944801964781,0.4094733608266759,805.5534246575343,614.0263013698631,168,612,10.0,0.019497505539273388,0.07810101750609919,0.11812845611425211,0.09247478485180614,0.008824170871113592,0.10129895572291973,interphase
